Source;Scrittori;Message Size;Time;Provenance
client1;2;4;185851;LAN
client1;2;4;178526;LAN
client0;2;4;180143;LAN
client1;2;4;126662;LAN
client0;2;4;127504;LAN
client1;2;4;162020;LAN
client0;2;4;163585;LAN
client0;2;4;17587;LAN
client1;2;4;19005;LAN
client0;2;4;147119;LAN
client1;2;4;145661;LAN
client0;2;4;20457;LAN
client1;2;4;20457;LAN
client0;2;4;129378;LAN
client1;2;4;126954;LAN
client1;2;4;8993;LAN
client0;2;4;8992;LAN
client0;2;4;114395;LAN
client1;2;4;113034;LAN
client0;2;4;15632;LAN
client1;2;4;15633;LAN
client1;2;4;94013;LAN
client0;2;4;94013;LAN
client0;2;4;82826;LAN
client1;2;4;81945;LAN
client1;2;4;77211;LAN
client0;2;4;78747;LAN
client0;2;4;65855;LAN
client1;2;4;64285;LAN
client1;2;4;57639;LAN
client0;2;4;59126;LAN
client1;2;4;21317;LAN
client0;2;4;20584;LAN
client0;2;4;42763;LAN
client1;2;4;44015;LAN
client1;2;4;36477;LAN
client0;2;4;37352;LAN
client0;2;4;26765;LAN
client1;2;4;26127;LAN
client0;2;4;129071;LAN
client1;2;4;129070;LAN
client0;2;4;256510;LAN
client1;2;4;251149;LAN
client1;2;4;19850;LAN
client0;2;4;18327;LAN
client0;2;4;242138;LAN
client1;2;4;240600;LAN
client0;2;4;226470;LAN
client1;2;4;226470;LAN
client1;2;4;218315;LAN
client0;2;4;217211;LAN
client0;2;4;129895;LAN
client1;2;4;129995;LAN
client0;2;4;209318;LAN
client1;2;4;207725;LAN
client0;2;4;17391;LAN
client1;2;4;11828;LAN
client0;2;4;186976;LAN
client1;2;4;187007;LAN
client1;2;16;82468;LAN
client0;2;16;82482;LAN
client0;2;16;72699;LAN
client1;2;16;72699;LAN
client0;2;16;61551;LAN
client1;2;16;65920;LAN
client0;2;16;54072;LAN
client1;2;16;55355;LAN
client0;2;16;46899;LAN
client1;2;16;47111;LAN
client0;2;16;40853;LAN
client1;2;16;39844;LAN
client1;2;16;27433;LAN
client0;2;16;28849;LAN
client0;2;16;23275;LAN
client1;2;16;23226;LAN
client1;2;16;259457;LAN
client0;2;16;260338;LAN
client1;2;16;125905;LAN
client0;2;16;127123;LAN
client0;2;16;244854;LAN
client1;2;16;244965;LAN
client1;2;16;234635;LAN
client0;2;16;234590;LAN
client1;2;16;86523;LAN
client0;2;16;86617;LAN
client0;2;16;217365;LAN
client1;2;16;215608;LAN
client0;2;16;208854;LAN
client1;2;16;205018;LAN
client1;2;16;127790;LAN
client0;2;16;127842;LAN
client0;2;16;189713;LAN
client1;2;16;191313;LAN
client0;2;16;182622;LAN
client1;2;16;181105;LAN
client0;2;16;85884;LAN
client1;2;16;87659;LAN
client0;2;16;169173;LAN
client1;2;16;168255;LAN
client0;2;16;154230;LAN
client1;2;16;155785;LAN
client1;2;16;125303;LAN
client0;2;16;128629;LAN
client0;2;16;141159;LAN
client1;2;16;141111;LAN
client0;2;16;135369;LAN
client1;2;16;135308;LAN
client1;2;16;84133;LAN
client0;2;16;81708;LAN
client1;2;16;115347;LAN
client0;2;16;117403;LAN
client0;2;16;107565;LAN
client1;2;16;104370;LAN
client1;2;16;19083;LAN
client0;2;16;19456;LAN
client0;2;16;85953;LAN
client1;2;16;87432;LAN
client0;2;16;83482;LAN
client1;2;16;82112;LAN
client0;2;16;73154;LAN
client1;2;16;72955;LAN
client0;2;16;61472;LAN
client1;2;16;64770;LAN
client1;2;16;55355;LAN
client0;2;16;55355;LAN
client0;2;16;46307;LAN
client1;2;16;44824;LAN
client1;2;16;40248;LAN
client0;2;16;40248;LAN
client1;2;16;30590;LAN
client0;2;16;31845;LAN
client1;2;16;16912;LAN
client0;2;16;16694;LAN
client0;2;16;391522;LAN
client1;2;16;390490;LAN
client0;2;16;251786;LAN
client1;2;16;251786;LAN
client0;2;16;129096;LAN
client1;2;16;128870;LAN
client0;2;16;232802;LAN
client1;2;16;232802;LAN
client0;2;16;229978;LAN
client1;2;16;229893;LAN
client0;2;16;88889;LAN
client1;2;16;89247;LAN
client0;2;16;210692;LAN
client1;2;16;210419;LAN
client0;2;16;200796;LAN
client1;2;16;200796;LAN
client0;2;16;133978;LAN
client1;2;16;133977;LAN
client0;2;16;181365;LAN
client1;2;16;181992;LAN
client0;2;16;176252;LAN
client1;2;16;176132;LAN
client0;2;16;93502;LAN
client1;2;16;94325;LAN
client1;2;16;158764;LAN
client0;2;16;159003;LAN
client0;2;64;70624;LAN
client1;2;64;69223;LAN
client1;2;64;18911;LAN
client0;2;64;15447;LAN
client0;2;64;137384;LAN
client1;2;64;137403;LAN
client0;2;64;129682;LAN
client1;2;64;130910;LAN
client1;2;64;122498;LAN
client0;2;64;121579;LAN
client1;2;64;115479;LAN
client0;2;64;114526;LAN
client0;2;64;26977;LAN
client1;2;64;27847;LAN
client1;2;64;100292;LAN
client0;2;64;96541;LAN
client1;2;64;11257;LAN
client0;2;64;8543;LAN
client0;2;64;77700;LAN
client1;2;64;78646;LAN
client0;2;64;67601;LAN
client1;2;64;70748;LAN
client1;2;64;63330;LAN
client0;2;64;62149;LAN
client0;2;64;29347;LAN
client1;2;64;29115;LAN
client0;2;64;44971;LAN
client1;2;64;45003;LAN
client1;2;64;35885;LAN
client0;2;64;33807;LAN
client0;2;64;30712;LAN
client1;2;64;30712;LAN
client1;2;64;268685;LAN
client0;2;64;267102;LAN
client0;2;64;259657;LAN
client1;2;64;259657;LAN
client1;2;64;34651;LAN
client0;2;64;31131;LAN
client1;2;64;238158;LAN
client0;2;64;241883;LAN
client1;2;64;228510;LAN
client0;2;64;230046;LAN
client0;2;64;346916;LAN
client1;2;64;347627;LAN
client1;2;64;211574;LAN
client0;2;64;213974;LAN
client0;2;64;207171;LAN
client1;2;64;207182;LAN
client0;2;64;35500;LAN
client1;2;64;35500;LAN
client0;2;64;15010;LAN
client1;2;64;15567;LAN
client1;2;64;178044;LAN
client0;2;64;178044;LAN
client0;2;64;172942;LAN
client1;2;64;175693;LAN
client1;2;64;161441;LAN
client0;2;64;162000;LAN
client1;2;64;156695;LAN
client0;2;64;156011;LAN
client1;2;64;12022;LAN
client0;2;64;11987;LAN
client0;2;64;16570;LAN
client1;2;64;17712;LAN
client0;2;64;129672;LAN
client1;2;64;129672;LAN
client0;2;64;124715;LAN
client1;2;64;125125;LAN
client1;2;64;113579;LAN
client0;2;64;113694;LAN
client0;2;64;105594;LAN
client1;2;64;106295;LAN
client1;2;64;34765;LAN
client0;2;64;33419;LAN
client1;2;64;88547;LAN
client0;2;64;87642;LAN
client1;2;64;78420;LAN
client0;2;64;78870;LAN
client1;2;64;72915;LAN
client0;2;64;73223;LAN
client1;2;64;66034;LAN
client0;2;64;64507;LAN
client1;2;64;53010;LAN
client0;2;64;53010;LAN
client1;2;64;30263;LAN
client0;2;64;28363;LAN
client1;2;64;36599;LAN
client0;2;64;37256;LAN
client0;2;64;28493;LAN
client1;2;64;28874;LAN
client0;2;64;20598;LAN
client1;2;64;21052;LAN
client0;2;64;382118;LAN
client1;2;64;380674;LAN
client0;2;64;247445;LAN
client1;2;64;247445;LAN
client0;2;64;26750;LAN
client1;2;64;29068;LAN
client0;2;64;232869;LAN
client1;2;64;233231;LAN
client1;2;256;14019;LAN
client0;2;256;10649;LAN
client0;2;256;91230;LAN
client1;2;256;91103;LAN
client1;2;256;82581;LAN
client0;2;256;80246;LAN
client0;2;256;70154;LAN
client1;2;256;74723;LAN
client0;2;256;61299;LAN
client1;2;256;68139;LAN
client1;2;256;8864;LAN
client0;2;256;8478;LAN
client1;2;256;18379;LAN
client0;2;256;16108;LAN
client0;2;256;36077;LAN
client1;2;256;36760;LAN
client1;2;256;31902;LAN
client0;2;256;31901;LAN
client0;2;256;23902;LAN
client1;2;256;28299;LAN
client0;2;256;107768;LAN
client1;2;256;107934;LAN
client1;2;256;10615;LAN
client0;2;256;8862;LAN
client0;2;256;22040;LAN
client1;2;256;24698;LAN
client0;2;256;355151;LAN
client1;2;256;357006;LAN
client1;2;256;11594;LAN
client0;2;256;12064;LAN
client1;2;256;217299;LAN
client0;2;256;217342;LAN
client1;2;256;213732;LAN
client0;2;256;211156;LAN
client0;2;256;9498;LAN
client1;2;256;11212;LAN
client0;2;256;19238;LAN
client1;2;256;22125;LAN
client1;2;256;183909;LAN
client0;2;256;183909;LAN
client0;2;256;173363;LAN
client1;2;256;175584;LAN
client1;2;256;169844;LAN
client0;2;256;164695;LAN
client1;2;256;163369;LAN
client0;2;256;161210;LAN
client1;2;256;19353;LAN
client0;2;256;13645;LAN
client1;2;256;17908;LAN
client0;2;256;16000;LAN
client1;2;256;133772;LAN
client0;2;256;132972;LAN
client1;2;256;127501;LAN
client0;2;256;125323;LAN
client1;2;256;118070;LAN
client0;2;256;114699;LAN
client1;2;256;111012;LAN
